customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST000048,Male,0,No,No,15,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),66.26,877.12,No
CUST000049,Female,0,Yes,No,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.04,549.81,Yes
CUST000050,Female,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,89.93,2631.02,Yes
CUST000051,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.6,488.4,No
CUST000052,Female,1,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.66,490.88,Yes
CUST000053,Male,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),88.19,1389.79,No
CUST000054,Female,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.95,2754.47,No
CUST000055,Male,1,Yes,Yes,33,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),78.02,2622.75,Yes
CUST000056,Female,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),46.7,815.36,No
CUST000057,Female,0,No,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,90.72,3255.6,No
CUST000058,Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.91,1880.98,No
CUST000059,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),94.17,238.02,Yes
CUST000060,Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.64,1448.73,Yes
CUST000061,Male,0,Yes,No,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.11,183.26,No
CUST000062,Male,0,Yes,No,14,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,70.26,1018.22,No
CUST000063,Male,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,114.47,39.88,Yes
CUST000064,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,74.79,145.61,Yes
CUST000065,Male,0,No,No,16,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),49.03,731.7,No
CUST000066,Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),87.68,1454.08,Yes
CUST000067,Female,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),91.44,5688.02,No
CUST000068,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),109.6,2991.81,Yes
CUST000069,Female,1,No,No,36,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.24,3040.97,Yes
CUST000070,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),50.0,3637.3,No
CUST000071,Female,0,No,No,72,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,72.58,5169.72,No
CUST000072,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),67.73,1576.91,No
CUST000073,Male,0,No,No,17,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,75.74,1278.74,No
CUST000074,Female,0,No,No,15,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,53.79,760.05,Yes
CUST000075,Male,1,Yes,Yes,31,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,66.26,2089.42,Yes
CUST000076,Female,1,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,286.58,Yes
CUST000077,Female,0,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,57.46,405.62,Yes
CUST000078,Female,1,No,No,16,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,57.77,863.78,Yes
CUST000079,Male,0,No,No,32,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,60.52,1971.47,No
CUST000080,Female,0,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.73,3861.93,Yes
CUST000081,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.95,2538.07,Yes
CUST000082,Female,1,Yes,No,26,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),77.32,2080.43,No
CUST000083,Male,0,No,No,59,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,76.57,4500.54,Yes
CUST000084,Female,0,Yes,No,21,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.54,1559.25,Yes
CUST000085,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),81.94,1906.0,Yes
CUST000086,Male,0,Yes,No,22,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,79.72,1744.32,Yes
CUST000087,Female,0,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.71,3127.67,Yes
CUST000088,Male,0,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.84,4921.36,No
CUST000089,Female,0,Yes,Yes,17,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),85.5,1386.42,Yes
CUST000090,Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),64.32,731.57,No
CUST000091,Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.61,2030.89,Yes
CUST000092,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.17,975.69,Yes
CUST000093,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),80.76,5245.28,No
CUST000094,Female,0,Yes,No,15,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,70.47,1057.43,Yes
CUST000095,Female,1,No,Yes,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.08,1645.54,Yes
CUST000096,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,89.86,4365.14,No
CUST000097,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.35,1481.82,Yes
CUST000098,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,103.31,4063.15,Yes
CUST000099,Female,0,Yes,Yes,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.34,409.83,No
CUST000100,Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.53,1230.4,No
CUST000101,Male,0,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),67.93,501.73,No
CUST000102,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),108.44,2839.26,Yes
CUST000103,Female,0,Yes,No,56,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),76.4,4254.61,No
CUST000104,Female,0,Yes,No,43,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.81,2793.47,Yes
CUST000105,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,99.62,901.26,Yes
CUST000106,Female,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,83.48,5983.9,No
CUST000107,Female,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),43.72,2355.35,No
CUST000108,Female,0,No,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.34,834.42,Yes
CUST000109,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,108.18,1684.71,No
CUST000110,Male,0,No,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.53,704.48,No
CUST000111,Female,0,No,No,32,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.76,2510.69,No
CUST000112,Male,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.74,1252.89,Yes
CUST000113,Female,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.36,70.99,Yes
CUST000114,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,83.94,1846.93,Yes
CUST000115,Male,1,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,80.88,3769.15,Yes
CUST000116,Female,1,No,Yes,27,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),81.5,2196.44,Yes
CUST000117,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),90.29,3410.34,Yes
CUST000118,Female,0,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.91,1074.32,No
CUST000119,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),96.95,4098.78,Yes
CUST000120,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.44,907.73,No
CUST000121,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),95.31,2114.94,Yes
CUST000122,Male,0,Yes,No,26,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,58.94,1607.78,Yes
CUST000123,Female,0,No,No,67,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,67.6,4536.51,No
CUST000124,Male,0,No,No,38,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.06,2248.93,No
CUST000125,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,74.9,810.67,No
CUST000126,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.27,674.53,Yes
CUST000127,Female,0,Yes,Yes,32,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),63.14,2028.14,Yes
CUST000128,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),89.7,1922.62,No
CUST000129,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,83.65,269.13,Yes
CUST000130,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,109.0,1164.81,No
CUST000131,Female,0,No,No,17,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.46,1417.34,Yes
CUST000132,Male,1,Yes,No,72,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),58.81,4236.88,No
CUST000133,Male,0,No,Yes,35,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),73.28,2618.93,No
CUST000134,Male,0,No,Yes,5,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,66.96,305.99,Yes
CUST000135,Male,0,No,No,23,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.75,2056.79,Yes
CUST000136,Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.44,5226.56,Yes
CUST000137,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.65,1377.96,Yes
CUST000138,Male,0,Yes,No,50,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),75.12,3755.05,No
CUST000139,Male,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,70.91,No
CUST000140,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,63.24,0.0,No
CUST000141,Female,0,No,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,107.05,6028.32,No
CUST000142,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),104.44,1867.25,No
CUST000143,Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),78.87,1335.73,No
CUST000144,Female,0,No,No,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.27,476.32,No
CUST000145,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,74.75,2534.59,No
CUST000146,Male,1,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.38,25.86,Yes
CUST000147,Male,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.18,537.59,Yes
CUST000148,Male,0,No,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),81.42,2089.33,Yes
CUST000149,Male,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),81.09,2695.3,No
CUST000150,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.31,802.59,Yes
CUST000151,Male,0,Yes,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,82.81,1779.89,No
CUST000152,Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),95.95,1443.94,No
CUST000153,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,64.89,1915.54,Yes
CUST000154,Male,0,Yes,Yes,54,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,86.58,4615.0,No
CUST000155,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),96.36,1903.1,Yes
CUST000156,Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),94.11,536.57,No
CUST000157,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.64,539.08,No
CUST000158,Female,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.28,6493.59,Yes
CUST000159,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.57,265.25,No
CUST000160,Female,0,Yes,No,8,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,52.54,441.97,Yes
CUST000161,Male,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,97.08,1777.48,Yes
CUST000162,Male,1,Yes,No,23,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.28,1888.9,No
CUST000163,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,80.62,1321.84,Yes
CUST000164,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.38,558.11,Yes
CUST000165,Female,0,No,No,31,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,88.85,2811.7,No
CUST000166,Male,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.9,1125.55,Yes
CUST000167,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),92.53,3699.36,No
CUST000168,Male,0,No,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,90.38,2637.22,Yes
CUST000169,Male,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.68,2292.37,No
CUST000170,Female,0,No,No,43,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,98.49,4304.61,No
CUST000171,Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.34,3415.06,Yes
CUST000172,Male,1,No,No,56,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,74.59,4082.79,No
CUST000173,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.67,598.55,Yes
CUST000174,Female,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),109.26,2254.69,Yes
CUST000175,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),71.32,2128.08,No
CUST000176,Female,1,Yes,Yes,3,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.19,125.97,Yes
CUST000177,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.96,764.03,Yes
CUST000178,Male,0,Yes,Yes,23,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),65.74,1555.99,No
